id,qname,heading,text,type,diagram,website,updated
,PublicTransportSystemThing,PublicTransportSystemThing,"Added for organizational purposes, to identify classes defined in the Public Transport System Pattern ontology.",Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportSystemThing.dot.svg,https://w3id.org/citydata/part3/v1/PublicTransportSystemThing,2026-07-23T17:44:22.205530
,MicromobilityLink,MicromobilityLink,A MicromobilityLink is a type of RoadLink designed for micromobility vehicles.,Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityLink.dot.svg,https://w3id.org/citydata/part3/v1/MicromobilityLink,2026-07-23T17:44:22.205530
,RoadNetwork,RoadNetwork,"Roads are most commonly associated with motor vehicles, but can be designed for other types of vehicles (e.g., micromobility vehicles).",Class,https://w3id.org/citydata/part3/v1/diagrams/RoadNetwork.dot.svg,https://w3id.org/citydata/part3/v1/RoadNetwork,2026-07-23T17:44:22.205530
,PublicTransportLine,PublicTransportLine,A PublicTransportLine is one or more routes used by public transport vehicles to transport passengers to and from designated locations.,Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportLine.dot.svg,https://w3id.org/citydata/part3/v1/PublicTransportLine,2026-07-23T17:44:22.205530
,RoadSegment,RoadSegment,"A RoadSegment can be defined to be a part of a RoadSection, for example, when the RoadSection does not span an entire RoadLink.",Class,https://w3id.org/citydata/part3/v1/diagrams/RoadSegment.dot.svg,https://w3id.org/citydata/part3/v1/RoadSegment,2026-07-23T17:44:22.205530
,RoadLink,RoadLink,A RoadLink is a type of TravelledWayLink and cdm2:RoadLink using a stabilized base designed for the movement of vehicles that conform to a specified set of requirements but may be used by others as well.,Class,https://w3id.org/citydata/part3/v1/diagrams/RoadLink.dot.svg,https://w3id.org/citydata/part3/v1/RoadLink,2026-07-23T17:44:22.205530
,Road,Road,A Road is a type of TravelledWay and cdm2:Road that is made up of RoadLinks. Roads form a proper part of RoadNetworks.,Class,https://w3id.org/citydata/part3/v1/diagrams/Road.dot.svg,https://w3id.org/citydata/part3/v1/Road,2026-07-23T17:44:22.205530
,TransportAlertThing,TransportAlertThing,"The transport alert pattern addresses the need for public agencies to alert groups to unusual transport-related conditions. Most of the features of the transport alert pattern can also be used for other types of alerts (e.g., meteorological events) and as such, its design includes the definition of a generalized alert.",Class,https://w3id.org/citydata/part3/v1/diagrams/TransportAlertThing.dot.svg,https://w3id.org/citydata/part3/v1/TransportAlertThing,2026-07-23T17:44:22.205530
,TravelCorridorSegment,TravelCorridorSegment,A TravelCorridorSegment is a type of TravelledWaySegment that logically groups multiple TravelledWaySegments together as being co-located or side-by-side.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelCorridorSegment.dot.svg,https://w3id.org/citydata/part3/v1/TravelCorridorSegment,2026-07-23T17:44:22.205530
,TravelledWayLink,TravelledWayLink,A TravelledWayLink is a type of NetworkElement and transinfras:TravelledWayLink. It represents a contiguous length of a TravelledWay between two TransportNodes of operational or managerial significance.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWayLink.dot.svg,https://w3id.org/citydata/part3/v1/TravelledWayLink,2026-07-23T17:44:22.205530
,TransportAlert,TransportAlert,A TransportAlert is a type of alert that can be used to notify people of important transport information.,Class,https://w3id.org/citydata/part3/v1/diagrams/TransportAlert.dot.svg,https://w3id.org/citydata/part3/v1/TransportAlert,2026-07-23T17:44:22.205530
,MicromobilityPathSection,MicromobilityPathSection,"A MicromobilityPathSections is a type of RoadSection that groups MicromobilityLinks and MicromobilityPathSegments for a useful operational purpose (e.g., assigning a speed limit, designating areas of shared use).",Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityPathSection.dot.svg,https://w3id.org/citydata/part3/v1/MicromobilityPathSection,2026-07-23T17:44:22.205530
,TrackLink,TrackLink,"Due to the nature of rail, each TrackLink consists of a single lane, but multiple TrackLinks can exist along the same RailCorridor.",Class,https://w3id.org/citydata/part3/v1/diagrams/TrackLink.dot.svg,https://w3id.org/citydata/part3/v1/TrackLink,2026-07-23T17:44:22.205530
,FootpathLink,FootpathLink,A Footpath Link is a type of TravelledWayLink designed for pedestrians.,Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathLink.dot.svg,https://w3id.org/citydata/part3/v1/FootpathLink,2026-07-23T17:44:22.205530
,PublicTransportElement,PublicTransportElement,A PublicTransportElement represents any element of a public transport system. It can be a part of another PublicTransportElement and can be decomposed into smaller PublicTransportElement.,Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportElement.dot.svg,https://w3id.org/citydata/part3/v1/PublicTransportElement,2026-07-23T17:44:22.205530
